celltype	marker	expression	gene_name	comment	ensg_id	gene_description
neutrophil	CD27	NA	CD27		ENSG00000139193	CD27 molecule
NK-cell	CD27	either	CD27		ENSG00000139193	CD27 molecule
non-classical monocyte	CD27	NA	CD27		ENSG00000139193	CD27 molecule
plasmacytoid DC	CD27	NA	CD27		ENSG00000139193	CD27 molecule
T-reg	CD27	NA	CD27		ENSG00000139193	CD27 molecule
basophil	CD38	+	CD38		ENSG00000004468	CD38 molecule
classical monocyte	CD38	NA	CD38		ENSG00000004468	CD38 molecule
eosinophil	CD38	low	CD38		ENSG00000004468	CD38 molecule
gdTCR	CD38	NA	CD38		ENSG00000004468	CD38 molecule
intermediate monocyte	CD38	NA	CD38		ENSG00000004468	CD38 molecule
MAIT T-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
myeloid DC	CD38	NA	CD38		ENSG00000004468	CD38 molecule
memory B-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
memory CD4 T-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
memory CD8 T-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
naive B-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
naive CD4 T-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
naive CD8 T-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
neutrophil	CD38	low	CD38		ENSG00000004468	CD38 molecule
NK-cell	CD38	NA	CD38		ENSG00000004468	CD38 molecule
non-classical monocyte	CD38	NA	CD38		ENSG00000004468	CD38 molecule
plasmacytoid DC	CD38	NA	CD38		ENSG00000004468	CD38 molecule
T-reg	CD38	NA	CD38		ENSG00000004468	CD38 molecule
basophil	CD45	+	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
classical monocyte	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
eosinophil	CD45	+	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
gdTCR	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
intermediate monocyte	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
MAIT T-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
myeloid DC	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
memory B-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
memory CD4 T-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
memory CD8 T-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
naive B-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
naive CD4 T-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
naive CD8 T-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
neutrophil	CD45	+	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
NK-cell	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
non-classical monocyte	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
plasmacytoid DC	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
T-reg	CD45	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
